Company: DE
Comparison of Actual vs Predicted Prices:
dates actual predicted
2022-12-23   436.93     400.27    
2023-01-10   437.43     369.51    
2023-01-25   413.64     416.01    
2023-02-08   407.69     423.19    
2023-02-23   425.05     430.07    
2023-03-09   421.42     439.42    
2023-03-23   391.85     407.49    
2023-04-06   369.65     401.09    
2023-04-21   386.70     386.35    
2023-05-05   381.09     374.37    
2023-05-19   363.55     383.64    
2023-06-05   363.65     357.22    
2023-06-20   407.98     408.83    
2023-07-05   404.66     415.66    
2023-07-19   436.17     420.73    
2023-08-02   430.53     417.29    
2023-08-16   423.94     435.73    
2023-08-30   413.27     403.31    
2023-09-14   411.68     415.38    
2023-09-28   384.73     396.50    
2023-10-12   382.28     389.92    
2023-10-26   369.54     370.24    
2023-11-09   369.62     396.95    
2023-11-24   370.19     400.22    
2023-12-08   363.67     355.13    
2023-12-22   396.82     378.80    
2024-01-09   393.22     398.16    
2024-01-24   388.41     368.54    
2024-02-07   385.95     384.30    
2024-02-22   356.78     347.48    
2024-03-07   375.32     381.68    
2024-03-21   397.64     408.75    
2024-04-05   412.54     407.67    
2024-04-19   400.32     408.50    
2024-05-03   400.96     398.25    
2024-05-17   397.02     411.83    
2024-06-03   368.12     357.88    
2024-06-17   379.22     396.09    
2024-07-02   364.95     386.90    
2024-07-17   385.13     385.98    
2024-07-31   371.98     389.37    
2024-08-14   351.28     339.19    
2024-08-28   377.95     388.32    
2024-09-12   387.00     392.21    
2024-09-26   411.47     404.65    
2024-10-10   405.76     412.51    
2024-10-24   411.07     411.10    
2024-11-07   411.16     408.14    
2024-12-09   N/A        416.37    
2024-12-10   N/A        414.95    
2024-12-11   N/A        410.41    
2024-12-12   N/A        410.91    
2024-12-13   N/A        409.30    
2024-12-16   N/A        406.94    
2024-12-17   N/A        404.92    
2024-12-18   N/A        408.84    
2024-12-19   N/A        407.02    
2024-12-20   N/A        408.14    
2024-12-23   N/A        413.19    
2024-12-24   N/A        415.78    
2024-12-25   N/A        414.74    
2024-12-26   N/A        412.68    

Company: BA
Comparison of Actual vs Predicted Prices:
dates actual predicted
2022-12-23   189.06     192.03    
2023-01-10   206.69     205.85    
2023-01-25   212.68     207.24    
2023-02-08   213.50     214.05    
2023-02-23   208.13     217.05    
2023-03-09   201.24     216.57    
2023-03-23   197.90     210.49    
2023-04-06   211.37     218.95    
2023-04-21   205.15     223.36    
2023-05-05   198.34     209.99    
2023-05-19   205.49     211.79    
2023-06-05   208.78     223.48    
2023-06-20   212.37     220.16    
2023-07-05   213.31     213.25    
2023-07-19   208.60     227.38    
2023-08-02   231.38     233.05    
2023-08-16   229.95     243.02    
2023-08-30   228.85     219.06    
2023-09-14   209.05     230.56    
2023-09-28   190.43     215.69    
2023-10-12   191.30     192.93    
2023-10-26   179.09     183.40    
2023-11-09   193.33     185.02    
2023-11-24   220.00     208.80    
2023-12-08   244.70     235.36    
2023-12-22   260.44     259.99    
2024-01-09   225.76     263.61    
2024-01-24   214.13     228.81    
2024-02-07   211.92     214.92    
2024-02-22   201.50     214.72    
2024-03-07   203.03     205.32    
2024-03-21   187.70     177.68    
2024-04-05   183.14     194.78    
2024-04-19   169.82     179.63    
2024-05-03   179.79     173.81    
2024-05-17   184.95     176.62    
2024-06-03   184.57     174.16    
2024-06-17   178.39     175.93    
2024-07-02   185.42     178.65    
2024-07-17   184.84     180.94    
2024-07-31   190.60     184.30    
2024-08-14   168.50     157.12    
2024-08-28   170.71     168.19    
2024-09-12   162.77     166.58    
2024-09-26   154.58     163.15    
2024-10-10   146.62     151.88    
2024-10-24   155.20     156.49    
2024-11-07   150.98     166.27    
2024-12-09   N/A        157.83    
2024-12-10   N/A        153.45    
2024-12-11   N/A        155.73    
2024-12-12   N/A        150.63    
2024-12-13   N/A        151.38    
2024-12-16   N/A        148.85    
2024-12-17   N/A        148.20    
2024-12-18   N/A        160.22    
2024-12-19   N/A        155.48    
2024-12-20   N/A        166.27    
2024-12-23   N/A        151.12    
2024-12-24   N/A        154.89    
2024-12-25   N/A        161.38    
2024-12-26   N/A        153.57    

Company: CL
Comparison of Actual vs Predicted Prices:
dates actual predicted
2022-12-23   79.45      75.09     
2023-01-10   78.31      76.67     
2023-01-25   75.77      77.53     
2023-02-08   73.36      77.73     
2023-02-23   73.66      75.36     
2023-03-09   71.34      73.47     
2023-03-23   71.83      75.19     
2023-04-06   75.68      76.31     
2023-04-21   76.80      76.51     
2023-05-05   80.59      81.16     
2023-05-19   79.93      82.14     
2023-06-05   76.25      78.68     
2023-06-20   77.62      77.09     
2023-07-05   76.87      78.07     
2023-07-19   76.42      76.94     
2023-08-02   77.54      76.27     
2023-08-16   74.42      76.67     
2023-08-30   73.85      73.27     
2023-09-14   73.46      73.98     
2023-09-28   71.31      74.27     
2023-10-12   69.70      70.70     
2023-10-26   73.08      76.77     
2023-11-09   75.14      77.80     
2023-11-24   77.31      79.52     
2023-12-08   77.17      73.89     
2023-12-22   78.50      79.24     
2024-01-09   80.82      77.50     
2024-01-24   80.08      81.36     
2024-02-07   83.86      84.58     
